Year,cd,Total_Agriculture_forestry_fishing_hunting_mining,Total_Construction,Total_Manufacturing,Total_Wholesale_trade,Total_Retail_trade,Total_Transportation_warehousing_utilities,Total_Information,Total_Finance_insurance_realestate_rental_leasing,Total_Professional_scientific_management_administrative_waste_management_services,Total_Educationalservices_healthcare_socialassistance,Total_Arts_entertainment_recreation_accommodation_foodservices,Total_Otherservices_except_Public_administration,Total_Public_administration,Male,Male_Agriculture_forestry_fishing_hunting_mining,Male_Construction,Male_Manufacturing,Male_Wholesale_trade,Male_Retail_trade,Male_Transportation_warehousing_utilities,Male_Information,Male_Finance_insurance_realestate_rental_leasing,Male_Professional_scientific_management_administrative_waste_management_services,Male_Educationalservices_healthcare_socialassistance,Male_Arts_entertainment_recreation_accommodation_foodservices,Male_Otherservices_except_Public_administration,Male_Public_administration,Female,Female_Agriculture_forestry_fishing_hunting_mining,Female_Construction,Female_Manufacturing,Female_Wholesale_trade,Female_Retail_trade,Female_Transportation_warehousing_utilities,Female_Information,Female_Finance_insurance_realestate_rental_leasing,Female_Professional_scientific_management_administrative_waste_management_services,Female_Educationalservices_healthcare_socialassistance,Female_Arts_entertainment_recreation_accommodation_foodservices,Female_Otherservices_except_Public_administration,Female_Public_administration
2019,11_PA,5070,18578,39246,7893,19513,10712,3301,12350,17846,42442,9495,8635,7271,121559,4130,17148,29019,5549,11292,8671,2060,5859,11001,11473,5259,5397,4701,80793,940,1430,10227,2344,8221,2041,1241,6491,6845,30969,4236,3238,2570
2019,6_PA,7241,18487,50698,11151,25991,13355,6745,35052,48321,65814,13285,10354,8862,186743,5826,16659,36432,7878,15233,10677,4714,19646,30823,19598,7511,6046,5700,128613,1415,1828,14266,3273,10758,2678,2031,15406,17498,46216,5774,4308,3162
2019,7_PA,1679,13206,41271,9015,21522,18305,4858,14056,22796,56032,12492,8709,7857,132990,1397,12256,29501,6301,13120,14076,3083,6436,14397,15389,7107,5669,4258,98808,282,950,11770,2714,8402,4229,1775,7620,8399,40643,5385,3040,3599
2019,1_PA,1849,25949,56707,14243,34218,15647,8449,34315,52574,81684,17822,13531,12878,211894,1535,23190,39745,10354,20634,12461,5358,17383,32390,23373,9998,7900,7573,157972,314,2759,16962,3889,13584,3186,3091,16932,20184,58311,7824,5631,5305
2019,4_PA,620,10405,24833,5711,12879,7444,4020,18961,26698,40044,6942,6426,5658,95238,474,9543,17294,3846,7651,5648,2578,9705,16379,11182,3865,3627,3446,75403,146,862,7539,1865,5228,1796,1442,9256,10319,28862,3077,2799,2212
2019,8_PA,1539,13194,28257,7780,22544,15565,3864,15378,19238,49892,14865,8744,13371,120669,1332,12391,19888,5666,13403,11770,2491,6501,12169,13349,7918,5353,8438,93562,207,803,8369,2114,9141,3795,1373,8877,7069,36543,6947,3391,4933
2019,5_PA,485,12364,21702,6775,19901,14413,5326,23051,33245,67888,12473,9175,9843,128716,281,11206,15628,5292,11265,11362,3377,12304,19905,20790,7226,4675,5405,107925,204,1158,6074,1483,8636,3051,1949,10747,13340,47098,5247,4500,4438
2019,3_PA,556,7693,17008,5147,19994,16568,7016,24698,43260,96106,21957,12951,19610,143051,403,7096,11041,3349,11551,11937,3826,12744,24570,30339,12339,5760,8096,149513,153,597,5967,1798,8443,4631,3190,11954,18690,65767,9618,7191,11514
2019,2_PA,640,12908,18725,5932,18194,15599,3344,11884,18875,53887,12627,9579,16725,105414,518,12130,12316,4126,10513,12134,1824,4718,10185,14512,7710,5204,9524,93505,122,778,6409,1806,7681,3465,1520,7166,8690,39375,4917,4375,7201
2019,0_DE,4016,25149,32215,7481,30917,17724,5099,37143,33639,78475,19836,11805,22330,176709,3109,23039,22421,5392,17673,14160,3105,17100,19339,20846,11297,7218,12010,149120,907,2110,9794,2089,13244,3564,1994,20043,14300,57629,8539,4587,10320
